,name,geometry,maxspeed
113,Rua do Capitão Lebre,"LINESTRING (-8.654031700000001 40.6160682, -8.6539342 40.615888, -8.653837100000001 40.6156999)",50
114,Rua do Capitão Lebre,"LINESTRING (-8.654031700000001 40.6160682, -8.6540772 40.6161328, -8.6544322 40.6166619, -8.6545845 40.6168686, -8.6548394 40.6172145, -8.6550536 40.6177215, -8.655138000000001 40.6179634)",50
115,,"LINESTRING (-8.644300299999999 40.6375001, -8.644269100000001 40.6374888, -8.6442391 40.6374855, -8.644209099999999 40.6374887, -8.644181400000001 40.6374981, -8.644159999999999 40.6375115)",50
116,Rua Manuel Júlio Braga Alves,"LINESTRING (-8.644300299999999 40.6375001, -8.644209699999999 40.6374231, -8.6440655 40.6373175)",50
117,Cais da Fonte Nova,"LINESTRING (-8.644144900000001 40.6375271, -8.6440538 40.6374862, -8.6440059 40.6374644, -8.6437744 40.637375, -8.643661 40.637329)",50
118,,"LINESTRING (-8.644144900000001 40.6375271, -8.6441351 40.6375449, -8.644131 40.6375639, -8.644134599999999 40.6375886, -8.644147800000001 40.6376114, -8.644169399999999 40.6376301, -8.644197399999999 40.637643)",50
119,,"LINESTRING (-8.644159999999999 40.6375115, -8.644144900000001 40.6375271)",50
120,Rua Engenheiro Robert Erick Zipprich,"LINESTRING (-8.597164299999999 40.6377593, -8.5970019 40.6377562)",50
121,Rua Engenheiro Robert Erick Zipprich,"LINESTRING (-8.597164299999999 40.6377593, -8.5972838 40.6377628, -8.597803000000001 40.6377811, -8.5983596 40.6378008)",50
122,Rua Miguel Torga,"LINESTRING (-8.597164299999999 40.6377593, -8.597167199999999 40.6376949, -8.597129799999999 40.6376214, -8.5971016 40.6374741)",50
123,,"LINESTRING (-8.640609 40.6387005, -8.639867000000001 40.6388854)",50
124,,"LINESTRING (-8.640609 40.6387005, -8.640659400000001 40.6387734, -8.6407588 40.6388384)",50
125,Rua Engenheiro Robert Erick Zipprich,"LINESTRING (-8.5970019 40.6377562, -8.597164299999999 40.6377593)",50
126,Rua Engenheiro Robert Erick Zipprich,"LINESTRING (-8.5970019 40.6377562, -8.5968926 40.6377538, -8.5965753 40.6377468, -8.595525 40.6377238, -8.594656000000001 40.6376892, -8.594524 40.6376844)",50
127,Avenida da Força Aérea Portuguesa,"LINESTRING (-8.644565200000001 40.6472608, -8.644390899999999 40.6471216)",50
128,Rua Doutor Álvaro da Silva Sampaio,"LINESTRING (-8.644565200000001 40.6472608, -8.644605800000001 40.6472321, -8.6446463 40.6472033, -8.6452379 40.6467901, -8.6452949 40.6467503)",50
